timestamp,username,ip,result
2025-10-31T15:20:05.481371,user15,198.51.100.13,fail_bad_pwd
2025-10-31T15:22:25.481371,user20,198.51.100.11,success
2025-10-31T15:22:53.481371,user12,198.51.100.19,success
2025-10-31T15:24:19.481371,user9,203.0.113.2,success
2025-10-31T15:24:37.481371,user4,198.51.100.3,fail_bad_pwd
2025-10-31T15:25:05.481371,user18,203.0.113.11,success
2025-10-31T15:26:22.481371,user3,203.0.113.6,success
2025-10-31T15:26:29.481371,user8,203.0.113.12,success
2025-10-31T15:26:44.481371,user6,198.51.100.2,success
2025-10-31T15:27:39.481371,user7,198.51.100.1,success
2025-10-31T15:28:48.481371,user9,198.51.100.13,success
2025-10-31T15:30:02.481371,user4,203.0.113.12,success
2025-10-31T15:30:17.481371,user10,203.0.113.2,success
2025-10-31T15:30:49.481371,user17,198.51.100.13,success
2025-10-31T15:32:16.481371,user3,198.51.100.16,success
2025-10-31T15:33:38.481371,user6,203.0.113.12,success
2025-10-31T15:35:05.481371,user14,198.51.100.6,success
2025-10-31T15:35:48.481371,user1,198.51.100.4,success
2025-10-31T15:36:23.481371,user2,203.0.113.17,success
2025-10-31T15:37:08.481371,user6,203.0.113.3,success
2025-10-31T15:39:06.481371,user8,203.0.113.12,success
2025-10-31T15:39:06.481371,user20,203.0.113.6,success
2025-10-31T15:39:07.481371,user7,203.0.113.5,success
2025-10-31T15:39:09.481371,user16,198.51.100.1,fail_bad_pwd
2025-10-31T15:39:09.481371,user12,203.0.113.15,success
2025-10-31T15:41:00.481371,user20,198.51.100.7,success
2025-10-31T15:41:55.481371,user20,203.0.113.1,success
2025-10-31T15:42:07.481371,user2,198.51.100.19,fail_bad_pwd
2025-10-31T15:42:16.481371,user6,203.0.113.14,success
2025-10-31T15:43:56.481371,user7,198.51.100.9,success
2025-10-31T15:44:26.481371,user8,203.0.113.10,success
2025-10-31T15:44:29.481371,user17,203.0.113.16,success
2025-10-31T15:44:30.481371,user13,203.0.113.16,fail_bad_pwd
2025-10-31T15:44:36.481371,user4,203.0.113.14,success
2025-10-31T15:44:47.481371,user15,198.51.100.2,success
2025-10-31T15:48:00.481371,user1,203.0.113.1,success
2025-10-31T15:48:12.481371,user14,203.0.113.4,success
2025-10-31T15:48:21.481371,user7,198.51.100.12,success
2025-10-31T15:49:03.481371,user11,203.0.113.1,success
2025-10-31T15:49:05.481371,user11,203.0.113.15,success
2025-10-31T15:49:24.481371,user10,198.51.100.11,success
2025-10-31T15:49:30.481371,user5,203.0.113.5,success
2025-10-31T15:51:07.481371,user4,203.0.113.5,fail_no_user
2025-10-31T15:51:36.481371,user16,198.51.100.13,success
2025-10-31T15:51:50.481371,user13,203.0.113.16,success
2025-10-31T15:52:23.481371,user15,203.0.113.4,success
2025-10-31T15:52:46.481371,user6,203.0.113.3,success
2025-10-31T15:53:32.481371,user6,203.0.113.7,success
2025-10-31T15:54:07.481371,user9,203.0.113.17,success
2025-10-31T15:54:56.481371,user14,198.51.100.4,success
2025-10-31T15:57:29.481371,user17,203.0.113.13,success
2025-10-31T15:59:04.481371,user7,203.0.113.5,success
2025-10-31T16:00:57.481371,user8,198.51.100.4,success
2025-10-31T16:01:06.481371,user16,203.0.113.10,success
2025-10-31T16:01:38.481371,user19,198.51.100.3,fail_bad_pwd
2025-10-31T16:01:41.481371,user11,203.0.113.4,success
2025-10-31T16:03:10.481371,user7,203.0.113.15,success
2025-10-31T16:03:44.481371,user17,198.51.100.15,success
2025-10-31T16:04:42.481371,user8,203.0.113.2,success
2025-10-31T16:06:19.481371,user7,203.0.113.15,fail_no_user
2025-10-31T16:07:23.481371,user17,203.0.113.19,success
2025-10-31T16:08:58.481371,user19,198.51.100.2,success
2025-10-31T16:09:00.481371,user3,203.0.113.13,success
2025-10-31T16:09:29.481371,user15,198.51.100.6,success
2025-10-31T16:09:51.481371,user18,198.51.100.14,success
2025-10-31T16:09:57.481371,user19,198.51.100.19,success
2025-10-31T16:10:39.481371,user8,203.0.113.8,success
2025-10-31T16:11:54.481371,user7,198.51.100.5,success
2025-10-31T16:12:27.481371,user12,203.0.113.14,fail_bad_pwd
2025-10-31T16:13:47.481371,user9,203.0.113.9,fail_bad_pwd
2025-10-31T16:13:49.481371,user4,203.0.113.8,fail_bad_pwd
2025-10-31T16:15:52.481371,user9,203.0.113.13,fail_bad_pwd
2025-10-31T16:16:46.481371,user4,203.0.113.1,success
2025-10-31T16:17:39.481371,user16,203.0.113.14,success
2025-10-31T16:18:39.481371,user19,198.51.100.17,success
2025-10-31T16:18:43.481371,user8,203.0.113.11,success
2025-10-31T16:18:55.481371,user18,203.0.113.7,fail_no_user
2025-10-31T16:19:01.481371,user3,203.0.113.7,success
2025-10-31T16:19:16.481371,user17,198.51.100.8,success
2025-10-31T16:20:10.481371,user15,198.51.100.8,fail_no_user
2025-10-31T16:20:35.481371,user20,198.51.100.6,success
2025-10-31T16:23:18.481371,user11,198.51.100.16,success
2025-10-31T16:23:40.481371,user14,203.0.113.1,success
2025-10-31T16:23:44.481371,user13,203.0.113.4,success
2025-10-31T16:25:14.481371,user16,203.0.113.15,success
2025-10-31T16:25:30.481371,user12,203.0.113.3,fail_bad_pwd
2025-10-31T16:26:33.481371,user9,198.51.100.8,success
2025-10-31T16:29:23.481371,user3,198.51.100.15,success
2025-10-31T16:29:31.481371,user5,203.0.113.9,success
2025-10-31T16:30:14.481371,user8,198.51.100.5,success
2025-10-31T16:30:54.481371,user5,203.0.113.14,success
2025-10-31T16:30:59.481371,user5,198.51.100.17,fail_bad_pwd
2025-10-31T16:31:19.481371,user14,198.51.100.12,success
2025-10-31T16:32:47.481371,user5,203.0.113.12,fail_bad_pwd
2025-10-31T16:32:58.481371,user4,198.51.100.13,fail_bad_pwd
2025-10-31T16:35:47.481371,user14,198.51.100.12,success
2025-10-31T16:35:53.481371,user18,198.51.100.17,success
2025-10-31T16:35:58.481371,user11,203.0.113.7,success
2025-10-31T16:38:45.481371,user10,198.51.100.20,success
2025-10-31T16:39:18.481371,user11,198.51.100.10,success
2025-10-31T16:40:07.481371,user2,198.51.100.6,success
2025-10-31T16:40:49.481371,user10,203.0.113.5,success
2025-10-31T16:41:56.481371,user17,203.0.113.12,fail_bad_pwd
2025-10-31T16:42:00.481371,user2,198.51.100.11,success
2025-10-31T16:42:12.481371,user17,203.0.113.19,success
2025-10-31T16:42:55.481371,user15,198.51.100.8,success
2025-10-31T16:44:08.481371,user11,203.0.113.14,success
2025-10-31T16:45:27.481371,user9,198.51.100.12,success
2025-10-31T16:46:00.481371,user7,203.0.113.19,success
2025-10-31T16:46:58.481371,user1,198.51.100.13,success
2025-10-31T16:47:17.481371,user11,203.0.113.14,success
2025-10-31T16:47:18.481371,user4,203.0.113.10,fail_no_user
2025-10-31T16:47:41.481371,user2,203.0.113.17,success
2025-10-31T16:48:15.481371,user7,203.0.113.4,success
2025-10-31T16:49:59.481371,user13,198.51.100.16,success
2025-10-31T16:51:16.481371,user15,203.0.113.20,success
2025-10-31T16:51:24.481371,user8,203.0.113.19,success
2025-10-31T16:52:13.481371,user19,203.0.113.16,fail_no_user
2025-10-31T16:52:18.481371,user19,198.51.100.4,success
2025-10-31T16:52:19.481371,user11,203.0.113.15,success
2025-10-31T16:52:20.481371,user1,198.51.100.19,success
2025-10-31T16:52:46.481371,user12,198.51.100.2,success
2025-10-31T16:55:05.481371,user7,203.0.113.14,success
2025-10-31T16:55:20.481371,user13,203.0.113.10,success
2025-10-31T16:55:24.481371,user20,203.0.113.5,fail_no_user
2025-10-31T16:55:59.481371,user13,198.51.100.7,fail_bad_pwd
2025-10-31T16:56:50.481371,user20,198.51.100.18,success
2025-10-31T16:57:32.481371,user6,203.0.113.15,success
2025-10-31T16:58:34.481371,user12,198.51.100.9,success
2025-10-31T16:58:35.481371,user12,203.0.113.1,fail_bad_pwd
2025-10-31T16:59:30.481371,user13,198.51.100.3,success
2025-10-31T17:00:17.481371,user18,198.51.100.6,success
2025-10-31T17:01:23.481371,user13,198.51.100.9,fail_no_user
2025-10-31T17:02:30.481371,user10,198.51.100.19,fail_no_user
2025-10-31T17:03:34.481371,user11,198.51.100.16,fail_bad_pwd
2025-10-31T17:04:25.481371,user18,203.0.113.16,success
2025-10-31T17:04:57.481371,user19,198.51.100.9,success
2025-10-31T17:05:23.481371,user12,203.0.113.8,fail_bad_pwd
2025-10-31T17:05:28.481371,user19,203.0.113.19,fail_bad_pwd
2025-10-31T17:07:34.481371,user5,203.0.113.13,fail_bad_pwd
2025-10-31T17:08:42.481371,user12,203.0.113.6,fail_bad_pwd
2025-10-31T17:09:49.481371,user5,203.0.113.13,fail_bad_pwd
2025-10-31T17:11:03.481371,user17,198.51.100.14,success
2025-10-31T17:11:45.481371,user18,198.51.100.12,fail_bad_pwd
2025-10-31T17:12:29.481371,user12,198.51.100.4,success
2025-10-31T17:12:53.481371,user14,203.0.113.16,fail_no_user
2025-10-31T17:13:03.481371,user9,198.51.100.3,success
2025-10-31T17:13:37.481371,user20,203.0.113.13,success
2025-10-31T17:13:42.481371,user5,203.0.113.5,success
2025-10-31T17:14:39.481371,user14,203.0.113.5,fail_bad_pwd
2025-10-31T17:15:46.481371,user17,198.51.100.8,success
2025-10-31T17:15:59.481371,user19,203.0.113.10,success
2025-10-31T17:16:59.481371,user10,203.0.113.11,success
2025-10-31T17:18:11.481371,user4,203.0.113.20,success
2025-10-31T17:18:40.481371,user11,203.0.113.3,success
2025-10-31T17:19:24.481371,user4,203.0.113.19,success
2025-10-31T17:20:00.481371,user8,198.51.100.18,success
2025-10-31T17:20:38.481371,user4,203.0.113.20,success
2025-10-31T17:23:20.481371,user9,203.0.113.1,success
2025-10-31T17:23:29.481371,user17,203.0.113.5,success
2025-10-31T17:23:50.481371,user10,198.51.100.12,success
2025-10-31T17:24:16.481371,user12,198.51.100.12,success
2025-10-31T17:25:08.481371,user17,198.51.100.3,success
2025-10-31T17:25:42.481371,user7,198.51.100.16,success
2025-10-31T17:25:44.481371,user5,203.0.113.7,fail_bad_pwd
2025-10-31T17:26:36.481371,user1,203.0.113.6,success
2025-10-31T17:27:15.481371,user8,198.51.100.1,success
2025-10-31T17:27:52.481371,user16,198.51.100.19,success
2025-10-31T17:28:07.481371,user9,203.0.113.10,fail_bad_pwd
2025-10-31T17:28:44.481371,user17,198.51.100.5,success
2025-10-31T17:28:56.481371,user8,203.0.113.8,fail_bad_pwd
2025-10-31T17:30:01.481371,user5,198.51.100.10,fail_bad_pwd
2025-10-31T17:30:40.481371,user20,198.51.100.15,success
2025-10-31T17:32:12.481371,user2,198.51.100.2,success
2025-10-31T17:33:32.481371,user16,198.51.100.5,success
2025-10-31T17:34:16.481371,user11,203.0.113.2,success
2025-10-31T17:34:46.481371,user14,203.0.113.9,success
2025-10-31T17:34:55.481371,user10,203.0.113.18,success
2025-10-31T17:36:39.481371,user16,198.51.100.5,success
2025-10-31T17:37:37.481371,user3,203.0.113.7,success
2025-10-31T17:39:24.481371,user8,203.0.113.16,fail_bad_pwd
2025-10-31T17:39:40.481371,user14,203.0.113.1,fail_bad_pwd
2025-10-31T17:40:19.481371,user11,198.51.100.11,success
2025-10-31T17:40:27.481371,user14,198.51.100.6,success
2025-10-31T17:41:02.481371,user3,198.51.100.7,success
2025-10-31T17:42:22.481371,user16,203.0.113.20,success
2025-10-31T17:43:58.481371,user3,203.0.113.4,fail_bad_pwd
2025-10-31T17:44:09.481371,user11,198.51.100.7,success
2025-10-31T17:44:30.481371,user16,203.0.113.3,success
2025-10-31T17:44:46.481371,user6,203.0.113.4,success
2025-10-31T17:45:01.481371,user13,198.51.100.15,fail_bad_pwd
2025-10-31T17:47:15.481371,user19,203.0.113.17,success
2025-10-31T17:47:41.481371,user9,198.51.100.17,fail_bad_pwd
2025-10-31T17:48:30.481371,user4,203.0.113.10,success
2025-10-31T17:48:32.481371,user11,203.0.113.16,success
2025-10-31T17:48:32.481371,user6,203.0.113.16,success
2025-10-31T17:49:13.481371,user16,198.51.100.18,success
2025-10-31T17:49:35.481371,user13,198.51.100.2,fail_bad_pwd
2025-10-31T17:49:56.481371,user14,198.51.100.13,success
2025-10-31T17:50:35.481371,user1,203.0.113.13,success
2025-10-31T17:50:45.481371,user14,198.51.100.13,success
2025-10-31T17:52:53.481371,user4,203.0.113.5,fail_bad_pwd
2025-10-31T17:53:41.481371,user18,203.0.113.18,success
2025-10-31T17:53:56.481371,user8,203.0.113.20,success
2025-10-31T17:53:58.481371,user8,203.0.113.12,success
2025-10-31T17:54:10.481371,user17,203.0.113.17,success
2025-10-31T17:56:00.481371,user2,203.0.113.13,fail_bad_pwd
2025-10-31T17:57:45.481371,user15,203.0.113.15,success
2025-10-31T17:58:10.481371,user17,198.51.100.20,success
2025-10-31T17:58:38.481371,user10,198.51.100.2,success
2025-10-31T17:58:55.481371,user14,203.0.113.5,fail_bad_pwd
2025-10-31T18:00:02.481371,user9,203.0.113.8,fail_bad_pwd
2025-10-31T18:00:12.481371,user20,203.0.113.9,fail_bad_pwd
2025-10-31T18:00:33.481371,user20,198.51.100.18,success
2025-10-31T18:00:38.481371,user11,198.51.100.19,success
2025-10-31T18:00:59.481371,user5,198.51.100.11,success
2025-10-31T18:01:57.481371,user18,203.0.113.15,fail_bad_pwd
2025-10-31T18:02:07.481371,user20,198.51.100.18,success
2025-10-31T18:02:41.481371,user20,203.0.113.19,success
2025-10-31T18:05:32.481371,userS5,198.51.100.250,fail_no_user
2025-10-31T18:06:32.481371,userS4,198.51.100.250,fail_no_user
2025-10-31T18:07:04.481371,user9,198.51.100.12,success
2025-10-31T18:07:28.481371,user13,203.0.113.3,success
2025-10-31T18:07:32.481371,userS3,198.51.100.250,fail_no_user
2025-10-31T18:08:11.481371,user4,203.0.113.2,success
2025-10-31T18:08:21.481371,user1,203.0.113.5,success
2025-10-31T18:08:32.481371,userS2,198.51.100.250,fail_no_user
2025-10-31T18:08:34.481371,user19,198.51.100.13,success
2025-10-31T18:09:11.481371,user19,203.0.113.18,fail_bad_pwd
2025-10-31T18:09:25.481371,user18,198.51.100.10,fail_no_user
2025-10-31T18:09:28.481371,user6,198.51.100.20,success
2025-10-31T18:09:32.481371,userS1,198.51.100.250,fail_no_user
2025-10-31T18:10:32.481371,user3,198.51.100.2,fail_bad_pwd
2025-10-31T18:10:32.481371,userS0,198.51.100.250,fail_no_user
2025-10-31T18:10:33.481371,user6,203.0.113.10,success
2025-10-31T18:11:16.481371,user17,203.0.113.10,success
2025-10-31T18:12:13.481371,user11,203.0.113.11,fail_bad_pwd
2025-10-31T18:12:47.481371,user18,203.0.113.200,fail_bad_pwd
2025-10-31T18:13:02.481371,user9,203.0.113.200,fail_bad_pwd
2025-10-31T18:13:17.481371,user8,203.0.113.200,fail_bad_pwd
2025-10-31T18:13:32.481371,user16,203.0.113.200,fail_bad_pwd
2025-10-31T18:13:47.481371,user15,203.0.113.200,fail_bad_pwd
2025-10-31T18:13:49.481371,user16,203.0.113.18,fail_no_user
2025-10-31T18:14:02.481371,user10,203.0.113.200,fail_bad_pwd
2025-10-31T18:14:17.481371,user12,203.0.113.200,fail_bad_pwd
2025-10-31T18:14:32.481371,user18,203.0.113.200,fail_bad_pwd
2025-10-31T18:14:46.481371,user8,198.51.100.19,success
2025-10-31T18:14:47.481371,user14,203.0.113.200,fail_bad_pwd
2025-10-31T18:15:02.481371,user17,203.0.113.200,fail_bad_pwd
2025-10-31T18:15:17.481371,user4,203.0.113.200,fail_bad_pwd
2025-10-31T18:15:22.481371,user2,198.51.100.20,success
2025-10-31T18:15:30.481371,user13,203.0.113.20,success
2025-10-31T18:15:32.481371,user7,203.0.113.200,fail_bad_pwd
2025-10-31T18:15:33.481371,user18,198.51.100.1,fail_no_user
2025-10-31T18:17:44.481371,user1,198.51.100.13,fail_bad_pwd
2025-10-31T18:18:38.481371,user1,203.0.113.19,success
2025-10-31T18:19:06.481371,user8,203.0.113.10,success
2025-10-31T18:19:12.481371,user1,198.51.100.17,success
